"order_id";"tanggal_order";"Waktu_Pesan";"user_id";"No_Resi";"product_id";"Jumlah_Pesanan";"Diskon";"Total_Harga";"Profit";"Kota";"Media_Pemesanan";"admin_id";"Ekspedisi";"Rating"
"odr001";"2018-01-15";"19:56:05";"user630";"60512-6443";"prod_007";9;0;990000.0;225000.0;"Bandung";"Instagram";"adm001";"Wahana";"4"
"odr003";"2018-01-13";"20:52:39";"user910";"55926-0020";"prod_003";9;13;978750.0;213750.0;"Jakarta";"Shopee";"adm001";"unknown";"5"
"odr006";"2018-01-20";"04:00:42";"user575";"75921-158";"prod_003";6;0;750000.0;240000.0;"Jakarta";"Tokopedia";"adm003";"Tiki";"2"
"odr009";"2018-01-28";"20:25:52";"user611";"63304-637";"prod_007";15;32;1122000.0;-153000.0;"Bandung";"Lazada";"adm005";"JNT";"2"
"odr010";"2018-01-24";"11:30:07";"user693";"0013-2646";"prod_001";1;32;57800.0;7800.0;"Depok";"Tiktok";"adm002";"SiCepat";"1"
"odr011";"2018-01-29";"13:27:11";"user291";"50458-562";"prod_001";3;0;255000.0;105000.0;"Tangerang";"Shopee";"adm004";"Wahana";"3"
"odr012";"2018-01-13";"13:36:50";"user034";"51523-120";"prod_003";14;0;1750000.0;560000.0;"Depok";"Website";"adm007";"SiCepat";"3"
"odr013";"2018-01-08";"23:15:40";"user088";"13668-271";"prod_003";25;25;2343750.0;218750.0;"Jakarta";"Lazada";"adm006";"unknown";"4"
"odr015";"2018-01-12";"23:49:19";"user965";"66758-016";"prod_003";1;0;125000.0;40000.0;"Yogyakarta";"Whatsapp";"adm001";"Wahana";"4"
"odr016";"2018-01-05";"18:44:48";"user803";"61458-0001";"prod_007";18;0;1980000.0;450000.0;"Bali";"Whatsapp";"adm006";"POS Indonesia";"5"
"odr017";"2018-01-23";"17:48:16";"user972";"68180-902";"prod_003";12;34;990000.0;-30000.0;"Bali";"Lazada";"adm001";"JNT";"2"
"odr018";"2018-01-28";"08:45:15";"user307";"52685-338";"prod_007";18;33;1326600.0;-203400.0;"Bogor";"Shopee";"adm004";"Wahana";"5"
"odr019";"2018-01-27";"20:09:05";"user884";"29333-0001";"prod_001";22;0;1870000.0;770000.0;"Semarang";"Tokopedia";"adm006";"unknown";"3"
"odr020";"2018-01-12";"03:50:54";"user304";"10967-583";"prod_004";7;0;1750000.0;420000.0;"Bali";"Shopee";"adm001";"Shopee Express";"1"
"odr021";"2018-01-19";"12:19:55";"user251";"42291-600";"prod_007";14;0;1540000.0;350000.0;"Bandung";"Tiktok";"adm002";"POS Indonesia";"2"
"odr022";"2018-01-28";"23:09:20";"user555";"37205-719";"prod_003";25;0;3125000.0;1000000.0;"Depok";"Tiktok";"adm001";"Wahana";"3"
"odr023";"2018-01-10";"11:36:41";"user069";"59779-376";"prod_005";13;0;1495000.0;260000.0;"Semarang";"Tiktok";"adm002";"JNT";"2"
"odr024";"2018-01-22";"20:42:03";"user875";"62037-675";"prod_003";18;0;2250000.0;720000.0;"Jakarta";"Whatsapp";"adm007";"SiCepat";"5"
"odr025";"2018-01-27";"22:43:11";"user049";"61570-075";"prod_003";8;28;720000.0;40000.0;"Jakarta";"FB Marketplace";"adm006";"Tiki";"3"
"odr026";"2018-01-20";"14:41:01";"user356";"33261-143";"prod_003";9;10;1012500.0;247500.0;"Jakarta";"Website";"adm001";"JNE";"1"
"odr027";"2018-01-03";"15:25:31";"user460";"0462-0392";"prod_007";17;0;1870000.0;425000.0;"Jakarta";"Tokopedia";"adm004";"Shopee Express";"4"
"odr028";"2018-01-23";"19:00:16";"user008";"68850-001";"prod_004";19;35;3087500.0;-522500.0;"Semarang";"Lazada";"adm003";"Shopee Express";"5"
"odr029";"2018-01-18";"11:34:10";"user070";"11819-351";"prod_007";24;21;2085600.0;45600.0;"Bogor";"Shopee";"adm006";"JNE";"4"
"odr030";"2018-01-20";"01:59:13";"user926";"0004-0186";"prod_003";12;0;1500000.0;480000.0;"Depok";"Shopee";"adm003";"Tiki";"5"
"odr031";"2018-01-18";"17:40:01";"user696";"63868-998";"prod_001";11;28;673200.0;123200.0;"Jakarta";"Shopee";"adm006";"Tiki";"5"
"odr032";"2018-01-30";"05:31:14";"user220";"54868-2093";"prod_007";19;0;2090000.0;475000.0;"Bali";"FB Marketplace";"adm004";"POS Indonesia";"3"
"odr033";"2018-01-28";"06:51:12";"user258";"49281-489";"prod_001";3;0;255000.0;105000.0;"Semarang";"Lazada";"adm002";"Wahana";"3"
"odr035";"2018-01-06";"22:44:06";"user319";"64679-661";"prod_001";22;0;1870000.0;770000.0;"Bogor";"Website";"adm005";"unknown";"2"
"odr036";"2018-01-10";"10:12:02";"user692";"49349-607";"prod_004";23;0;5750000.0;1380000.0;"Bogor";"Website";"adm001";"Wahana";"1"
"odr037";"2018-01-26";"14:30:48";"user700";"35356-702";"prod_003";7;31;603750.0;8750.0;"Bali";"Lazada";"adm003";"Wahana";"2"
"odr038";"2018-01-30";"03:34:15";"user214";"52125-030";"prod_003";18;30;1575000.0;45000.0;"Yogyakarta";"Tokopedia";"adm007";"POS Indonesia";"5"
"odr039";"2018-01-12";"22:14:46";"user618";"63739-986";"prod_004";7;27;1277500.0;-52500.0;"Tangerang";"Whatsapp";"adm004";"Shopee Express";"5"
"odr040";"2018-01-05";"14:08:03";"user870";"48951-1028";"prod_007";14;19;1247400.0;57400.0;"Tangerang";"Whatsapp";"adm005";"JNE";"1"
"odr041";"2018-01-01";"09:38:05";"user624";"50227-2115";"prod_004";5;33;837500.0;-112500.0;"Yogyakarta";"FB Marketplace";"adm006";"unknown";"1"
"odr042";"2018-01-03";"02:58:52";"user640";"21695-080";"prod_004";23;0;5750000.0;1380000.0;"Jakarta";"Lazada";"adm004";"Shopee Express";"4"
"odr043";"2018-01-16";"00:19:03";"user102";"68788-9554";"prod_007";20;28;1584000.0;-116000.0;"Tangerang";"Lazada";"adm002";"POS Indonesia";"4"
"odr044";"2018-01-26";"12:40:30";"user116";"64720-239";"prod_007";12;0;1320000.0;300000.0;"Bali";"Website";"adm002";"JNT";"3"
"odr045";"2018-01-19";"07:06:12";"user1001";"33261-963";"prod_007";24;10;2376000.0;336000.0;"Bali";"Lazada";"adm005";"Shopee Express";"1"
"odr046";"2018-01-04";"13:12:32";"user369";"63824-720";"prod_006";25;32;425000.0;125000.0;"Bogor";"Tokopedia";"adm006";"Shopee Express";"2"
"odr047";"2018-01-22";"18:21:45";"user374";"10056-105";"prod_003";12;0;1500000.0;480000.0;"Semarang";"Tiktok";"adm007";"Wahana";"3"
"odr048";"2018-01-06";"14:51:07";"user408";"98132-725";"prod_003";10;0;1250000.0;400000.0;"Semarang";"Tokopedia";"adm005";"Shopee Express";"5"
"odr049";"2018-01-08";"08:17:31";"user101";"41520-141";"prod_007";8;0;880000.0;200000.0;"Bogor";"Website";"adm001";"Tiki";"5"
"odr050";"2018-01-28";"03:54:47";"user857";"52125-748";"prod_005";5;0;575000.0;100000.0;"Bogor";"FB Marketplace";"adm006";"Shopee Express";"1"
"odr051";"2018-01-06";"06:30:52";"user443";"57955-8699";"prod_006";1;0;25000.0;13000.0;"Bali";"Website";"adm005";"JNT";"5"
"odr052";"2018-01-05";"02:21:49";"user093";"63777-262";"prod_007";19;0;2090000.0;475000.0;"Depok";"Website";"adm007";"Shopee Express";"4"
"odr053";"2018-01-06";"21:37:32";"user519";"10345-022";"prod_001";23;16;1642200.0;492200.0;"Depok";"Website";"adm001";"Wahana";"1"
"odr054";"2018-01-01";"14:21:22";"user430";"62670-4808";"prod_001";24;0;2040000.0;840000.0;"Tangerang";"Lazada";"adm007";"POS Indonesia";"3"
"odr055";"2018-01-30";"00:21:10";"user636";"0363-0342";"prod_001";17;0;1445000.0;595000.0;"Yogyakarta";"Shopee";"adm003";"JNE";"4"
"odr056";"2018-01-24";"01:51:08";"user866";"0179-0151";"prod_005";16;0;1840000.0;320000.0;"Depok";"Lazada";"adm003";"JNT";"3"
"odr057";"2018-01-21";"00:11:25";"user859";"0067-2053";"prod_003";8;27;730000.0;50000.0;"Yogyakarta";"Shopee";"adm001";"Wahana";"5"
"odr058";"2018-01-04";"06:22:14";"user994";"52125-301";"prod_007";2;13;191400.0;21400.0;"Depok";"Instagram";"adm006";"SiCepat";"2"
"odr059";"2018-01-27";"12:56:40";"user188";"64117-283";"prod_004";4;0;1000000.0;240000.0;"Bandung";"Tiktok";"adm002";"Wahana";"2"
"odr060";"2018-01-09";"04:00:47";"user474";"16590-950";"prod_005";21;24;1835400.0;-159600.0;"Depok";"Tokopedia";"adm003";"Shopee Express";"1"
"odr061";"2018-01-23";"04:08:23";"user833";"57520-1003";"prod_007";20;0;2200000.0;500000.0;"Semarang";"Shopee";"adm007";"Shopee Express";"2"
"odr062";"2018-01-28";"03:52:34";"user425";"58809-729";"prod_003";21;15;2231250.0;446250.0;"Depok";"Tokopedia";"adm002";"JNE";"4"
"odr063";"2018-01-12";"21:28:58";"user589";"0378-0525";"prod_007";21;18;1894200.0;109200.0;"Bali";"Tokopedia";"adm001";"Shopee Express";"2"
"odr064";"2018-01-22";"02:57:47";"user356";"54575-306";"prod_006";10;0;250000.0;130000.0;"Bali";"Instagram";"adm004";"SiCepat";"4"
"odr065";"2018-01-27";"06:01:09";"user967";"42254-131";"prod_007";11;35;786500.0;-148500.0;"Tangerang";"Lazada";"adm006";"Wahana";"3"
"odr066";"2018-01-28";"15:55:01";"user431";"68382-099";"prod_004";18;32;3060000.0;-360000.0;"Depok";"Whatsapp";"adm001";"Tiki";"1"
"odr067";"2018-01-20";"00:33:54";"user041";"0944-3045";"prod_007";15;0;1650000.0;375000.0;"Bandung";"Website";"adm001";"Tiki";"4"
"odr069";"2018-01-04";"01:33:52";"user809";"0093-8119";"prod_005";7;0;805000.0;140000.0;"Semarang";"Website";"adm007";"Shopee Express";"3"
"odr070";"2018-01-22";"10:42:47";"user330";"36987-1937";"prod_007";7;21;608300.0;13300.0;"Tangerang";"Tiktok";"adm004";"JNT";"1"
"odr071";"2018-01-27";"00:36:24";"user563";"68196-142";"prod_007";21;9;2102100.0;317100.0;"Bogor";"Instagram";"adm006";"JNE";"5"
"odr072";"2018-01-01";"12:37:08";"user621";"62936-0042";"prod_007";12;0;1320000.0;300000.0;"Tangerang";"Shopee";"adm001";"Tiki";"4"
"odr073";"2018-01-24";"22:09:50";"user1002";"25000-133";"prod_004";15;0;3750000.0;900000.0;"Jakarta";"Instagram";"adm004";"SiCepat";"1"
"odr074";"2018-01-13";"17:39:34";"user663";"55154-5625";"prod_007";23;20;2024000.0;69000.0;"Tangerang";"Website";"adm001";"JNE";"4"
"odr076";"2018-01-26";"17:32:36";"user049";"49349-474";"prod_007";10;0;1100000.0;250000.0;"Bandung";"Lazada";"adm004";"SiCepat";"4"
"odr077";"2018-01-08";"12:31:25";"user347";"50523-632";"prod_003";13;12;1430000.0;325000.0;"Bandung";"FB Marketplace";"adm002";"Shopee Express";"4"
"odr078";"2018-01-22";"06:49:31";"user429";"52959-547";"prod_004";3;0;750000.0;180000.0;"Bali";"Tiktok";"adm002";"POS Indonesia";"5"
"odr079";"2018-01-10";"07:39:00";"user941";"0093-2748";"prod_007";21;27;1686300.0;-98700.0;"Bogor";"Lazada";"adm002";"unknown";"5"
"odr080";"2018-01-27";"09:54:04";"user217";"52959-812";"prod_002";23;26;340400.0;-4600.0;"Yogyakarta";"Lazada";"adm004";"Shopee Express";"4"
"odr081";"2018-01-29";"16:39:59";"user790";"23155-105";"prod_003";1;34;82500.0;-2500.0;"Depok";"Tiktok";"adm001";"SiCepat";"1"
"odr082";"2018-01-05";"16:18:12";"user939";"55154-5382";"prod_007";10;0;1100000.0;250000.0;"Bali";"Website";"adm002";"Tiki";"5"
"odr083";"2018-01-19";"09:21:14";"user791";"0527-1407";"prod_003";3;0;375000.0;120000.0;"Depok";"Shopee";"adm005";"JNT";"5"
"odr084";"2018-01-17";"07:55:34";"user438";"0187-0453";"prod_004";14;23;2695000.0;35000.0;"Semarang";"Tokopedia";"adm002";"JNT";"1"
"odr085";"2018-01-24";"22:34:24";"user537";"64117-839";"prod_007";15;0;1650000.0;375000.0;"Bali";"Tokopedia";"adm003";"SiCepat";"4"
"odr087";"2018-01-29";"21:24:45";"user994";"0944-0490";"prod_007";23;0;2530000.0;575000.0;"Bandung";"Instagram";"adm001";"Tiki";"2"
"odr088";"2018-01-17";"02:30:55";"user087";"50988-230";"prod_003";25;0;3125000.0;1000000.0;"Yogyakarta";"Whatsapp";"adm002";"JNE";"1"
"odr089";"2018-01-21";"12:19:53";"user929";"54569-1285";"prod_006";2;5;47500.0;23500.0;"Depok";"Tiktok";"adm001";"POS Indonesia";"5"
"odr090";"2018-01-28";"22:10:53";"user802";"60429-340";"prod_007";22;0;2420000.0;550000.0;"Tangerang";"Instagram";"adm005";"Shopee Express";"3"
"odr091";"2018-01-14";"15:29:53";"user445";"45014-140";"prod_003";2;29;177500.0;7500.0;"Yogyakarta";"FB Marketplace";"adm002";"Wahana";"4"
"odr092";"2018-01-16";"17:51:11";"user917";"0093-9604";"prod_006";1;0;25000.0;13000.0;"Semarang";"Instagram";"adm007";"Tiki";"2"
"odr093";"2018-01-28";"03:49:04";"user165";"36987-2000";"prod_004";17;22;3315000.0;85000.0;"Bali";"FB Marketplace";"adm002";"Shopee Express";"5"
"odr094";"2018-01-20";"21:15:19";"user003";"55714-4429";"prod_003";19;17;1971250.0;356250.0;"Semarang";"Whatsapp";"adm004";"POS Indonesia";"1"
"odr095";"2018-01-17";"04:50:18";"user054";"99207-464";"prod_004";2;0;500000.0;120000.0;"Depok";"Lazada";"adm006";"Shopee Express";"2"
"odr096";"2018-01-25";"15:56:42";"user815";"48404-037";"prod_007";14;0;1540000.0;350000.0;"Bandung";"Lazada";"adm002";"Tiki";"3"
"odr098";"2018-01-09";"22:15:18";"user372";"35356-991";"prod_005";18;0;2070000.0;360000.0;"Bogor";"Lazada";"adm007";"Shopee Express";"1"
"odr099";"2018-01-01";"01:38:58";"user218";"63777-806";"prod_007";16;0;1760000.0;400000.0;"Tangerang";"Website";"adm003";"JNE";"1"
"odr100";"2018-01-14";"22:10:28";"user1000";"60846-809";"prod_007";7;17;639100.0;44100.0;"Bogor";"Tokopedia";"adm006";"unknown";"1"
"odr1000";"2018-02-03";"03:31:53";"user174";"0363-0648";"prod_007";1;30;77000.0;-8000.0;"Bogor";"Instagram";"adm007";"Shopee Express";"5"
"odr10000";"2019-04-27";"06:11:28";"user376";"52389-642";"prod_003";3;25;281250.0;26250.0;"Jakarta";"Lazada";"adm003";"Shopee Express";"2"
"odr10001";"2019-04-16";"13:26:03";"user120";"36987-3030";"prod_005";12;0;1380000.0;240000.0;"Semarang";"Lazada";"adm005";"JNE";"5"
"odr10002";"2019-04-07";"09:01:45";"user604";"0268-6001";"prod_003";8;0;1000000.0;320000.0;"Bandung";"Lazada";"adm005";"SiCepat";"5"
"odr10003";"2019-04-04";"13:01:22";"user970";"57915-005";"prod_003";19;11;2113750.0;498750.0;"Jakarta";"Whatsapp";"adm006";"JNT";"2"
"odr10004";"2019-04-08";"07:23:29";"user812";"57237-042";"prod_003";19;0;2375000.0;760000.0;"Yogyakarta";"Shopee";"adm002";"Wahana";""
"odr10007";"2019-04-28";"03:03:34";"user507";"62011-0102";"prod_003";22;0;2750000.0;880000.0;"Tangerang";"Tiktok";"adm005";"SiCepat";"5"
"odr10008";"2019-04-08";"13:07:59";"user373";"56062-080";"prod_001";8;26;503200.0;103200.0;"Bogor";"Tokopedia";"adm006";"Shopee Express";"4"
"odr10009";"2019-04-18";"05:22:27";"user061";"49348-680";"prod_007";5;26;407000.0;-18000.0;"Bandung";"Instagram";"adm004";"JNT";"3"
"odr1001";"2018-02-16";"08:40:30";"user183";"68462-384";"prod_001";12;21;805800.0;205800.0;"Bandung";"Lazada";"adm004";"JNE";"3"
"odr10010";"2019-04-17";"18:58:17";"user243";"55316-188";"prod_003";18;0;2250000.0;720000.0;"Bali";"FB Marketplace";"adm003";"unknown";"2"
"odr10011";"2019-04-29";"17:22:23";"user392";"43406-0047";"prod_007";5;0;550000.0;125000.0;"Semarang";"Website";"adm007";"unknown";"4"
"odr10012";"2019-04-19";"15:46:33";"user473";"0603-5916";"prod_007";4;17;365200.0;25200.0;"Semarang";"Tiktok";"adm001";"unknown";"2"
"odr10013";"2019-04-12";"16:42:09";"user169";"42291-755";"prod_005";12;19;1117800.0;-22200.0;"Bali";"Instagram";"adm001";"Shopee Express";"1"
"odr10014";"2019-04-19";"15:52:14";"user357";"52959-433";"prod_002";21;0;420000.0;105000.0;"Depok";"FB Marketplace";"adm007";"Tiki";"1"
"odr10015";"2019-04-04";"16:11:06";"user921";"59779-051";"prod_003";6;8;690000.0;180000.0;"Bandung";"Tokopedia";"adm005";"POS Indonesia";""
"odr10016";"2019-04-29";"09:44:58";"user1003";"54868-1791";"prod_004";19;25;3562500.0;-47500.0;"Yogyakarta";"Website";"adm007";"SiCepat";"1"
"odr10017";"2019-04-14";"11:00:02";"user789";"63029-500";"prod_003";1;0;125000.0;40000.0;"Jakarta";"Whatsapp";"adm004";"POS Indonesia";"1"
"odr10018";"2019-04-17";"19:15:42";"user433";"46122-162";"prod_007";2;30;154000.0;-16000.0;"Tangerang";"Tiktok";"adm006";"Tiki";"4"
"odr10019";"2019-04-22";"07:52:11";"user906";"0904-6125";"prod_005";12;17;1145400.0;5400.0;"Depok";"Tokopedia";"adm006";"JNE";"1"
"odr1002";"2018-02-05";"01:19:52";"user091";"0603-0728";"prod_007";11;15;1028500.0;93500.0;"Depok";"Tokopedia";"adm001";"JNT";"5"
"odr10020";"2019-04-18";"18:26:29";"user204";"10544-202";"prod_002";15;11;267000.0;42000.0;"Bali";"Tokopedia";"adm005";"Tiki";"5"
"odr10022";"2019-04-15";"23:34:04";"user636";"53808-0902";"prod_006";14;31;241500.0;73500.0;"Bogor";"Shopee";"adm001";"Tiki";"3"
"odr10023";"2019-04-23";"16:52:55";"user518";"58118-7915";"prod_007";14;0;1540000.0;350000.0;"Bandung";"Tokopedia";"adm003";"Shopee Express";"4"
"odr10025";"2019-04-28";"15:10:46";"user893";"46122-170";"prod_003";5;0;625000.0;200000.0;"Bogor";"Tiktok";"adm006";"JNE";"5"
"odr10027";"2019-04-08";"20:25:48";"user955";"55038-555";"prod_005";10;13;1000500.0;50500.0;"Jakarta";"Website";"adm002";"Tiki";"4"
"odr10028";"2019-04-09";"03:59:13";"user423";"52685-372";"prod_003";22;26;2035000.0;165000.0;"Jakarta";"Website";"adm003";"Tiki";"2"
"odr10029";"2019-04-26";"11:28:17";"user108";"42806-020";"prod_003";10;18;1025000.0;175000.0;"Depok";"Tiktok";"adm007";"unknown";"5"
"odr1003";"2018-02-09";"13:43:21";"user926";"63629-3786";"prod_003";7;0;875000.0;280000.0;"Depok";"Instagram";"adm001";"Tiki";"1"
